               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097962,            0.030027,                   0,           0.0024074,             0.92857,            0.007746,           0.0014938,            0.070183,            0.021471,                   0,            0.070612,           0.0032653,           0.0032653
                   1,            0.086737,            0.031791,                   0,           0.0022222,             0.85714,            0.021913,           0.0032892,            0.050464,            0.020734,                   0,            0.040177,           0.0061631,           0.0061631
                   2,             0.07117,            0.029239,                   0,           0.0025926,                   1,            0.022644,           0.0067852,            0.049582,             0.01885,                   0,           0.0093012,            0.008621,            0.008621
                   3,             0.07814,            0.027621,                   0,           0.0028924,                   1,            0.065768,            0.019338,            0.050109,            0.016242,                   0,             0.00802,             0.00802,             0.00802
                   4,            0.072012,            0.025844,                   0,           0.0051333,                   1,            0.041687,           0.0088437,            0.045791,            0.015055,                   0,             0.00802,             0.00802,             0.00802
                   5,            0.065755,            0.026838,                   0,            0.055417,             0.92857,             0.12012,            0.032953,            0.045361,            0.014507,                   0,             0.00736,             0.00736,             0.00736
                   6,            0.056646,            0.027763,                   0,             0.18324,             0.57143,             0.30153,            0.057638,            0.041343,              0.0132,                   0,              0.0067,              0.0067,              0.0067
                   7,            0.058103,            0.023501,                   0,            0.062533,             0.35714,             0.10113,             0.01874,            0.048713,            0.011639,                   0,             0.00604,             0.00604,             0.00604
                   8,            0.053463,            0.025799,                   0,              0.2673,             0.85714,             0.48419,             0.22597,            0.041464,            0.012087,                   0,             0.00538,             0.00538,             0.00538
                   9,            0.048699,            0.024427,                   0,             0.26019,             0.92857,             0.49447,             0.17496,            0.033643,            0.013105,                   0,             0.00472,             0.00472,             0.00472
                  10,            0.045487,            0.025784,                   0,             0.21175,             0.57143,             0.39314,            0.087493,            0.039273,            0.012028,                   0,             0.00406,             0.00406,             0.00406
                  11,            0.052853,            0.024518,                   0,             0.39559,             0.74868,             0.61147,               0.316,            0.026647,            0.012996,                   0,              0.0034,              0.0034,              0.0034
                  12,            0.044955,            0.023567,                   0,             0.47025,             0.71429,               0.705,              0.3397,            0.030344,             0.01216,                   0,             0.00274,             0.00274,             0.00274
                  13,            0.044924,              0.0226,                   0,                0.64,             0.78571,             0.80683,             0.52864,            0.026298,            0.012395,                   0,             0.00208,             0.00208,             0.00208
                  14,            0.038192,            0.019723,                   0,             0.55031,             0.71429,             0.76943,             0.47375,            0.023121,            0.012375,                   0,             0.00142,             0.00142,             0.00142
